file_path,module_complexity,code_churn,past_bugs,test_failures,defect_likely
C:\Users\HP\Django\Django-CRM\accounts\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\accounts\models.py,1.3333333333333333,706,10,0,1
C:\Users\HP\Django\Django-CRM\accounts\serializer.py,2.357142857142857,433,0,0,1
C:\Users\HP\Django\Django-CRM\accounts\tasks.py,5.666666666666667,494,4,0,1
C:\Users\HP\Django\Django-CRM\accounts\tests_celery_tasks.py,1.5,117,1,3,0
C:\Users\HP\Django\Django-CRM\accounts\views.py,7.277777777777778,6585,22,0,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0001_initial.py,1.0,579,0,0,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0002_initial.py,1.0,336,0,0,1
C:\Users\HP\Django\Django-CRM\accounts\migrations\0003_alter_account_created_by.py,1.0,42,0,0,0
C:\Users\HP\Django\Django-CRM\cases\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\cases\models.py,1.0769230769230769,275,7,0,1
C:\Users\HP\Django\Django-CRM\cases\serializer.py,1.8571428571428572,302,0,0,1
C:\Users\HP\Django\Django-CRM\cases\tasks.py,3.0,192,4,0,1
C:\Users\HP\Django\Django-CRM\cases\tests_celery_tasks.py,1.5,38,1,1,0
C:\Users\HP\Django\Django-CRM\cases\views.py,6.5,6178,20,0,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0001_initial.py,1.0,378,0,0,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0002_initial.py,1.0,153,0,0,1
C:\Users\HP\Django\Django-CRM\cases\migrations\0003_alter_case_created_by.py,1.0,42,0,0,0
C:\Users\HP\Django\Django-CRM\cms\apps.py,1.0,30,0,0,0
C:\Users\HP\Django\Django-CRM\cms\blocks.py,1.0,681,0,0,1
C:\Users\HP\Django\Django-CRM\cms\models.py,3.0,945,0,0,1
C:\Users\HP\Django\Django-CRM\cms\migrations\0001_initial.py,1.0,372,0,0,1
C:\Users\HP\Django\Django-CRM\cms\templatetags\menus_tags.py,1.0,30,0,0,0
C:\Users\HP\Django\Django-CRM\common\access_decorators_mixins.py,3.5714285714285716,246,4,0,1
C:\Users\HP\Django\Django-CRM\common\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\common\base.py,3.0,114,0,0,0
C:\Users\HP\Django\Django-CRM\common\custom_openapi.py,3.0,21,0,0,0
C:\Users\HP\Django\Django-CRM\common\external_auth.py,8.0,158,0,0,1
C:\Users\HP\Django\Django-CRM\common\manager.py,3.0,48,0,0,0
C:\Users\HP\Django\Django-CRM\common\mixins.py,1.0,150,0,0,0
C:\Users\HP\Django\Django-CRM\common\models.py,2.5135135135135136,2956,22,0,1
C:\Users\HP\Django\Django-CRM\common\serializer.py,2.0285714285714285,2279,2,0,1
C:\Users\HP\Django\Django-CRM\common\status.py,1.0,162,0,0,1
C:\Users\HP\Django\Django-CRM\common\tasks.py,5.5,1161,4,0,1
C:\Users\HP\Django\Django-CRM\common\tests_celery_tasks.py,1.5,693,1,15,1
C:\Users\HP\Django\Django-CRM\common\token_generator.py,1.5,39,1,0,0
C:\Users\HP\Django\Django-CRM\common\utils.py,4.4,1198,5,0,1
C:\Users\HP\Django\Django-CRM\common\views.py,5.216216216216216,12614,38,0,1
C:\Users\HP\Django\Django-CRM\common\context_processors\common.py,1.0,7,0,0,0
C:\Users\HP\Django\Django-CRM\common\middleware\get_company.py,3.2,634,0,0,1
C:\Users\HP\Django\Django-CRM\common\migrations\0001_initial.py,1.0,2368,2,0,1
C:\Users\HP\Django\Django-CRM\common\migrations\0002_initial.py,1.0,633,0,0,1
C:\Users\HP\Django\Django-CRM\common\migrations\0003_alter_user_profile_pic.py,1.0,54,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0004_alter_profile_alternate_phone.py,1.0,57,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0005_org_api_key.py,1.0,38,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0006_alter_org_api_key.py,1.3333333333333333,60,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0007_org_is_active.py,1.0,36,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0008_alter_user_managers.py,1.0,36,0,0,0
C:\Users\HP\Django\Django-CRM\common\migrations\0009_user_is_staff.py,1.0,36,0,0,0
C:\Users\HP\Django\Django-CRM\common\templatetags\common_tags.py,1.5454545454545454,929,0,0,1
C:\Users\HP\Django\Django-CRM\contacts\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\models.py,1.1428571428571428,317,11,0,1
C:\Users\HP\Django\Django-CRM\contacts\serializer.py,2.142857142857143,311,0,0,1
C:\Users\HP\Django\Django-CRM\contacts\tasks.py,3.0,192,4,0,1
C:\Users\HP\Django\Django-CRM\contacts\tests_celery_tasks.py,1.5,40,1,1,0
C:\Users\HP\Django\Django-CRM\contacts\views.py,6.125,5178,21,0,1
C:\Users\HP\Django\Django-CRM\contacts\migrations\0001_initial.py,1.0,488,1,0,1
C:\Users\HP\Django\Django-CRM\contacts\migrations\0002_alter_contact_created_by.py,1.0,63,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0003_alter_contact_secondary_number_and_more.py,1.0,72,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0004_alter_contact_address.py,1.0,36,0,0,0
C:\Users\HP\Django\Django-CRM\contacts\migrations\0005_alter_contact_address.py,1.0,40,0,0,0
C:\Users\HP\Django\Django-CRM\emails\apps.py,1.0,2,0,0,0
C:\Users\HP\Django\Django-CRM\emails\forms.py,1.0,5,2,0,0
C:\Users\HP\Django\Django-CRM\emails\models.py,1.5,56,3,0,0
C:\Users\HP\Django\Django-CRM\emails\serializer.py,1.0,11,0,0,0
